,Sp_Code,Common_Name,Construction Site-2018,Construction Site-2019,Construction Site-2020,Construction Site-2021,Construction Site-2022,Construction Site-2023,Piers 5-7-2018,Piers 5-7-2019,Piers 5-7-2020,Piers 5-7-2021,Piers 5-7-2022,Piers 5-7-2023,Macassa Bay-2018,Macassa Bay-2019,Macassa Bay-2020,Macassa Bay-2021,Macassa Bay-2022,Macassa Bay-2023
1,F0051,Bowfin,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
2,F0061,Alewife,0,0,0,0,0,0,0,47,3,0,0,0,16,21,0,1,9,0
3,F0063,Gizzard shad,11125,2099,3458,2121,1301,2160,11812,1612,3178,1030,2631,4786,4725,1553,1057,475,1404,1301
4,F0075,Chinook salmon,0,0,0,0,0,0,0,0,0,0,538,0,0,237,0,0,573,0
5,F0131,Northern pike,0,0,460,0,0,0,0,173,0,0,0,0,0,0,0,100,0,0
6,F0163,White sucker,0,174,0,0,0,0,0,179,0,0,0,10,340,277,0,2,1,19
7,F0166,Bigmouth buffalo,0,0,0,0,0,0,0,0,0,598,0,421,0,267,376,0,308,0
8,F0171,Shorthead redhorse,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F0181,Goldfish,0,98,0,0,0,0,32,0,0,83,0,0,254,222,409,743,379,12
10,F0186,Carp,1387,0,0,0,0,0,0,384,0,0,0,0,800,255,217,2,1465,0
11,F0194,Golden shiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
12,F0196,Emerald shiner,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,0,6
13,F0198,Common shiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
14,F0201,Spottail shiner,0,1,0,0,0,0,2,0,2,0,0,1,10,2,3,1,5,7
15,F0208,Bluntnose minnow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,F0220,Rudd,0,0,0,0,0,3,0,0,6,17,3,1,110,10,21,57,84,456
17,F0233,Brown bullhead,0,0,0,257,0,161,13,4,20,12,305,16,237,533,1040,193,861,357
18,F0251,American eel,189,0,0,0,0,0,0,66,0,0,0,208,19,0,0,0,0,0
19,F0301,White perch,48,54,30,0,0,88,52,65,11,21,8,41,71,6,3,13,46,42
20,F0311,Rock bass,47,85,89,0,193,87,94,175,255,54,252,271,74,15,19,18,1,189
21,F0312,Green sunfish,0,0,0,0,0,0,0,0,0,0,25,10,0,2,0,0,0,0
22,F0313,Pumpkinseed,0,0,0,0,0,27,6,21,22,3,8,26,2,6,8,15,3,252
23,F0314,Bluegill,0,0,0,0,0,16,125,35,51,20,129,107,1,6,36,38,33,221
24,F0316,Smallmouth bass,0,354,0,0,0,0,6,0,0,0,0,149,0,0,0,0,0,0
25,F0317,Largemouth bass,527,289,42,0,277,504,83,251,474,228,1231,731,571,589,118,203,602,573
26,F0331,Yellow perch,0,13,22,0,0,0,20,11,35,11,3,11,18,11,12,59,78,280
27,F0334,Walleye(yellow pickerel),0,0,0,567,0,773,0,6,70,493,559,777,30,0,52,0,87,0
28,F0342,Logperch,0,21,37,0,12,50,21,15,91,9,52,24,0,7,15,7,4,30
29,F0361,Brook silverside,0,1,1,2,13,1,0,2,1,3,8,0,0,1,3,5,11,3
30,F0366,Round Goby,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
