"","Sp_Code","Common_Name","Construction Site-2018","Construction Site-2019","Construction Site-2020","Construction Site-2021","Construction Site-2022","Construction Site-2023","Macassa Bay-2018","Macassa Bay-2019","Macassa Bay-2020","Macassa Bay-2021","Macassa Bay-2022","Macassa Bay-2023","Piers 5-7-2018","Piers 5-7-2019","Piers 5-7-2020","Piers 5-7-2021","Piers 5-7-2022","Piers 5-7-2023"
"1","F0051","Bowfin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2","F0061","Alewife",0,0,0,0,0,0,5,39,1,1,4,0,0,36,1,0,0,0
"3","F0063","Gizzard shad",30,14,26,12,3,7,98,60,142,62,13,30,137,47,70,24,27,61
"4","F0075","Chinook salmon",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"5","F0131","Northern pike",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"6","F0163","White sucker",0,1,0,0,0,0,6,8,0,1,1,2,0,4,0,0,0,2
"7","F0166","Bigmouth buffalo",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,1
"8","F0171","Shorthead redhorse",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","F0181","Goldfish",0,1,0,0,0,0,4,9,11,17,4,1,1,0,0,1,0,0
"10","F0186","Carp",1,0,0,0,0,0,3,3,2,1,2,0,0,2,0,0,0,0
"11","F0194","Golden shiner",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"12","F0196","Emerald shiner",0,0,0,0,0,0,0,19,9,9,0,4,0,14,0,1,0,0
"13","F0198","Common shiner",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","F0201","Spottail shiner",0,1,0,0,0,0,40,34,7,2,8,8,4,1,2,1,0,2
"15","F0208","Bluntnose minnow",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16","F0220","Rudd",0,0,0,0,0,1,6,3,4,8,17,33,0,0,1,4,3,2
"17","F0233","Brown bullhead",0,0,0,1,0,2,7,48,60,16,18,6,4,2,2,1,14,8
"18","F0251","American eel",1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1
"19","F0301","White perch",2,5,1,0,0,9,7,2,3,4,25,10,13,13,5,2,3,8
"20","F0311","Rock bass",1,2,2,0,3,2,4,4,6,4,2,10,12,30,34,6,25,34
"21","F0312","Green sunfish",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5
"22","F0313","Pumpkinseed",0,0,0,0,0,2,1,6,5,9,3,33,2,15,7,1,4,10
"23","F0314","Bluegill",0,0,0,0,0,3,2,7,16,31,15,39,31,27,19,9,30,41
"24","F0316","Smallmouth bass",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"25","F0317","Largemouth bass",2,2,3,0,4,19,7,20,19,52,47,38,26,37,33,3,23,28
"26","F0331","Yellow perch",0,1,2,0,0,0,4,11,10,15,12,24,1,3,7,1,1,1
"27","F0334","Walleye(yellow pickerel)",0,0,0,1,0,1,1,0,3,0,1,0,0,1,1,2,2,3
"28","F0342","Logperch",0,14,10,0,2,18,0,23,30,14,3,21,23,33,92,10,38,24
"29","F0361","Brook silverside",0,4,2,3,12,3,0,27,32,45,45,10,4,24,3,21,36,3
"30","F0366","Round Goby",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"31","F0601","Carp x Goldfish hybrid",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
