"","common_name_e","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"1","Bowfin",1,1,1,3,3,3,5,4,2,2,5
"2","Channel Catfish",0,5,4,3,3,3,0,0,0,0,4
"3","Common Carp",0,0,10,21,20,17,12,5,0,0,12
"4","Freshwater Drum",0,15,19,19,15,11,3,0,0,0,13
"5","Goldfish",0,0,10,18,16,12,33,26,27,7,31
"6","Largemouth Bass",15,15,18,14,13,12,12,8,1,0,24
"7","Longnose Gar",0,14,12,8,4,2,0,0,0,0,9
"8","Northern Pike",9,15,23,21,16,19,16,9,6,6,25
"9","Rudd",0,0,1,1,1,1,2,0,10,6,6
"10","Smallmouth Bass",0,0,3,4,7,7,11,10,5,5,12
"11","Walleye",25,39,46,27,21,30,41,26,23,22,55
"12","White Sucker",0,15,11,18,14,13,6,4,0,0,12
"13","Yellow Perch",0,13,7,0,0,0,0,0,0,0,2
