"","Year","Area","AreaYear","Count"
"1","2018","Construction Site","Construction Site-2018",6
"2","2018","Macassa Bay","Macassa Bay-2018",16
"3","2018","Piers 5-7","Piers 5-7-2018",15
"4","2019","Construction Site","Construction Site-2019",11
"5","2019","Macassa Bay","Macassa Bay-2019",20
"6","2019","Piers 5-7","Piers 5-7-2019",18
"7","2020","Construction Site","Construction Site-2020",9
"8","2020","Macassa Bay","Macassa Bay-2020",18
"9","2020","Piers 5-7","Piers 5-7-2020",15
"10","2021","Construction Site","Construction Site-2021",4
"11","2021","Macassa Bay","Macassa Bay-2021",18
"12","2021","Piers 5-7","Piers 5-7-2021",16
"13","2022","Construction Site","Construction Site-2022",5
"14","2022","Macassa Bay","Macassa Bay-2022",20
"15","2022","Piers 5-7","Piers 5-7-2022",14
"16","2023","Construction Site","Construction Site-2023",11
"17","2023","Macassa Bay","Macassa Bay-2023",17
"18","2023","Piers 5-7","Piers 5-7-2023",19
